,track_id, type, traveled_d, avg_speed
608,609, Taxi, 346.04, 13.570043
609,610, Motorcycle, 481.49, 33.987389
610,611, Motorcycle, 416.98, 5.040766
611,612, Motorcycle, 154.26, 18.511461
612,613, Taxi, 384.68, 19.233870
613,614, Car, 481.28, 30.720313
614,615, Motorcycle, 479.87, 35.256097
615,616, Taxi, 482.31, 30.040207
616,617, Motorcycle, 235.05, 24.598560
617,618, Motorcycle, 311.65, 3.823950
618,619, Car, 384.39, 19.435373
619,620, Motorcycle, 54.82, 20.137140
620,621, Heavy Vehicle, 107.84, 21.098743
621,622, Car, 483.69, 30.873710
622,623, Car, 483.54, 29.504281
623,624, Car, 427.95, 17.232971
624,625, Motorcycle, 354.45, 14.734642
625,626, Car, 14.89, 4.467598
626,627, Medium Vehicle, 480.79, 21.159612
627,628, Taxi, 384.84, 20.314339
628,629, Car, 451.18, 20.770470
629,630, Car, 470.80, 21.729130
630,631, Taxi, 437.73, 36.143167
631,632, Motorcycle, 396.99, 21.588401
632,633, Car, 28.46, 7.215425
633,634, Car, 467.14, 20.761711
634,635, Motorcycle, 32.36, 17.648292
635,636, Motorcycle, 222.29, 16.534318
636,637, Taxi, 400.77, 18.034828
637,638, Motorcycle, 468.07, 19.368370
638,639, Car, 39.08, 12.790166
639,640, Motorcycle, 279.29, 11.583647
640,641, Car, 29.55, 3.545661
641,642, Car, 211.54, 19.134681
642,643, Motorcycle, 201.09, 28.500928
643,644, Car, 185.58, 18.766012
644,645, Motorcycle, 191.45, 23.603391
645,646, Car, 206.44, 12.857889
646,647, Car, 183.12, 11.524733
647,648, Medium Vehicle, 467.06, 31.137498
648,649, Bus, 467.45, 34.483710
649,650, Car, 469.86, 30.204979
650,651, Car, 482.97, 31.844019
651,652, Motorcycle, 459.86, 39.795297
652,653, Taxi, 139.13, 28.784549
653,654, Motorcycle, 461.27, 48.554987
654,655, Motorcycle, 455.60, 34.749168
655,656, Taxi, 237.61, 25.158997
656,657, Motorcycle, 190.23, 33.570484
657,658, Motorcycle, 227.64, 26.435103
658,659, Taxi, 489.42, 21.382602
659,660, Motorcycle, 476.75, 47.150816
660,661, Medium Vehicle, 256.59, 8.474544
661,662, Car, 62.54, 26.804934
662,663, Taxi, 455.10, 21.222481
663,664, Motorcycle, 50.99, 24.155331
664,665, Taxi, 486.90, 36.215631
665,666, Taxi, 490.66, 21.593768
666,667, Motorcycle, 134.13, 6.781782
667,668, Taxi, 210.62, 12.939127
668,669, Motorcycle, 473.24, 35.054537
669,670, Motorcycle, 50.99, 30.591712
670,671, Car, 24.40, 16.268797
671,672, Heavy Vehicle, 185.56, 8.107081
672,673, Taxi, 279.28, 13.925283
673,674, Car, 50.29, 26.623218
674,675, Car, 454.57, 25.254127
675,676, Car, 265.04, 12.824607
676,677, Taxi, 481.60, 20.493648
677,678, Motorcycle, 351.43, 18.605310
678,679, Car, 489.24, 25.451619
679,680, Motorcycle, 279.78, 16.298065
680,681, Car, 265.53, 12.577618
681,682, Taxi, 50.98, 5.243394
682,683, Taxi, 479.69, 22.139685
683,684, Car, 200.35, 16.931369
684,685, Car, 482.76, 21.350346
685,686, Taxi, 280.69, 9.236702
686,687, Car, 346.76, 17.532966
687,688, Taxi, 349.92, 17.303788
688,689, Car, 264.49, 10.969556
689,690, Motorcycle, 350.13, 19.944178
690,691, Taxi, 350.10, 17.701737
691,692, Car, 349.97, 11.998995
692,693, Car, 321.02, 12.139441
693,694, Motorcycle, 347.50, 23.426738
694,695, Taxi, 359.37, 12.758720
695,696, Motorcycle, 266.13, 23.030164
696,697, Taxi, 317.00, 11.887640
697,698, Taxi, 348.65, 12.939651
698,699, Car, 24.10, 14.457705
699,700, Taxi, 322.18, 12.338888
700,701, Motorcycle, 213.43, 13.919056
701,702, Motorcycle, 101.19, 24.284755
702,703, Car, 479.77, 38.043780
703,704, Car, 234.95, 30.207648
704,705, Car, 235.63, 33.135854
705,706, Car, 480.48, 30.888235
706,707, Motorcycle, 480.57, 37.939771
707,708, Bus, 478.35, 34.032734
708,709, Motorcycle, 454.52, 43.518206
709,710, Motorcycle, 489.09, 34.796976
710,711, Heavy Vehicle, 212.48, 13.466827
711,712, Taxi, 237.48, 28.497696
712,713, Car, 481.90, 22.530311
713,714, Motorcycle, 460.95, 44.133374
714,715, Car, 203.57, 12.548673
715,716, Motorcycle, 46.78, 26.311435
716,717, Car, 454.60, 33.813376
717,718, Motorcycle, 411.86, 36.340967
718,719, Car, 477.14, 34.771653
719,720, Car, 438.70, 14.787806
720,721, Motorcycle, 448.68, 42.730978
